,gid,plaid,posid,teamid,teamname,newpos,newposname
111,111,5686,10,769,Colombia,1,Def
112,112,5692,18,769,Colombia,2,Mid
113,113,3494,4,769,Colombia,1,Def
114,114,5696,1,769,Colombia,1,Def
115,115,5691,5,769,Colombia,1,Def
116,116,6195,14,789,Poland,2,Mid
117,117,5672,15,789,Poland,2,Mid
118,118,6193,8,769,Colombia,1,Def
119,119,3637,12,789,Poland,2,Mid
120,120,5667,20,789,Poland,2,Mid
121,121,5688,22,769,Colombia,3,Fw
122,122,5678,18,769,Colombia,2,Mid
123,123,20004,14,771,France,2,Mid
124,124,4375,20,771,France,2,Mid
125,125,5487,18,771,France,2,Mid
126,126,5484,5,771,France,1,Def
127,127,5492,4,771,France,1,Def
128,128,5485,2,771,France,1,Def
129,129,5476,1,771,France,1,Def
130,130,3961,12,771,France,2,Mid
131,131,3604,22,771,France,3,Fw
132,132,3009,16,771,France,2,Mid
133,133,3632,11,784,Peru,2,Mid
134,134,5529,10,784,Peru,1,Def
135,135,5530,2,784,Peru,1,Def
136,136,5532,4,784,Peru,1,Def
137,137,5519,18,784,Peru,2,Mid
138,138,5518,5,784,Peru,1,Def
139,139,5535,22,784,Peru,3,Fw
140,140,5526,8,784,Peru,1,Def
141,141,5521,1,784,Peru,1,Def
142,142,5525,15,784,Peru,2,Mid
143,143,5528,0,784,Peru,0,GK
144,144,5738,4,784,Peru,1,Def
145,145,5531,18,784,Peru,2,Mid
146,146,3099,0,771,France,0,GK
147,147,5477,16,771,France,2,Mid
148,148,5533,20,784,Peru,2,Mid
149,149,5675,4,787,Senegal,1,Def
150,150,5661,23,787,Senegal,3,Fw
151,151,3436,12,787,Senegal,2,Mid
152,152,5664,2,787,Senegal,1,Def
153,153,5674,1,787,Senegal,1,Def
154,154,2941,16,787,Senegal,2,Mid
155,155,5671,14,787,Senegal,2,Mid
156,156,3629,20,787,Senegal,2,Mid
157,157,5662,2,789,Poland,1,Def
158,158,5665,18,789,Poland,2,Mid
159,159,5659,0,787,Senegal,0,GK
160,160,3603,21,787,Senegal,3,Fw
161,161,3404,5,787,Senegal,1,Def
162,162,5663,16,789,Poland,2,Mid
163,163,5676,21,787,Senegal,3,Fw
164,164,5666,16,789,Poland,2,Mid
165,165,5624,14,790,Sweden,2,Mid
166,166,4417,23,790,Sweden,3,Fw
167,167,5621,5,790,Sweden,1,Def
168,168,4709,2,790,Sweden,1,Def
169,169,5617,12,790,Sweden,2,Mid
170,170,5607,4,790,Sweden,1,Def
171,171,5613,11,790,Sweden,2,Mid
172,172,11098,21,790,Sweden,3,Fw
173,173,5612,1,790,Sweden,1,Def
174,174,5625,15,790,Sweden,2,Mid
175,175,5622,0,790,Sweden,0,GK
176,176,5626,22,791,South Korea,3,Fw
177,177,5627,14,791,South Korea,2,Mid
178,178,5609,5,791,South Korea,1,Def
179,179,5605,14,790,Sweden,2,Mid
180,180,5198,22,772,Spain,3,Fw
181,181,5203,9,772,Spain,1,Def
182,182,5201,4,772,Spain,1,Def
183,183,5211,5,772,Spain,1,Def
184,184,5213,2,772,Spain,1,Def
185,185,5216,14,772,Spain,2,Mid
186,186,3064,16,772,Spain,2,Mid
187,187,4926,20,772,Spain,2,Mid
188,188,5202,1,772,Spain,1,Def
189,189,3333,0,772,Spain,0,GK
190,190,5199,12,772,Spain,2,Mid
