,nullid,toid,nullpos,topos,period
0,373,4161,8,8,355
0,374,4168,2,2,356
0,375,4163,0,0,356
0,376,8359,13,13,710
0,377,4181,20,20,358
0,378,4190,0,0,358
0,379,4187,16,16,358
0,380,4199,22,22,359
0,381,6598,24,24,560
0,382,4206,20,20,360
0,383,4221,0,0,361
0,384,4225,22,22,361
0,385,4277,14,14,366
0,386,4254,0,0,364
0,387,4251,3,3,364
0,388,4276,22,22,366
0,389,4315,7,7,370
0,390,4283,3,3,367
0,391,4290,16,16,367
0,392,4295,5,5,368
0,393,4293,12,12,367
0,394,4290,16,16,367
0,395,4287,0,0,367
0,396,4284,4,4,367
0,397,4282,8,8,367
0,398,4302,22,22,369
0,399,4308,3,3,369
0,400,4309,16,16,369
0,401,4334,0,0,372
0,402,7248,3,3,620
0,403,4345,20,20,373
0,404,4339,16,16,373
0,405,4348,22,22,373
0,406,4351,1,1,374
0,407,4349,2,2,374
0,408,4352,0,0,374
0,408,4355,0,0,374
0,409,4389,9,9,377
0,410,4370,20,20,375
0,411,4386,0,0,377
0,412,4386,0,0,377
0,413,4394,20,20,378
0,414,4381,14,14,377
0,415,4402,22,22,379
0,416,4416,0,0,379
0,417,4441,9,9,381
0,418,4442,16,16,381
0,419,4448,0,0,382
0,419,4452,0,0,382
0,420,4449,22,22,382
0,421,4467,9,9,384
0,422,4463,12,12,384
0,423,4473,0,0,385
0,424,4519,20,20,388
0,425,4473,0,0,385
0,426,4471,11,11,384
0,427,4489,22,22,386
0,428,4484,12,12,386
0,428,4492,12,12,386
0,429,4494,9,9,386
0,430,4486,11,11,386
0,431,4526,9,9,389
0,432,4595,22,22,395
0,433,4538,0,0,391
0,434,4532,14,14,390
0,435,4535,15,15,390
0,436,4536,21,21,390
0,437,4538,0,0,391
0,438,4561,23,23,392
0,439,4546,9,9,391
0,440,4589,16,16,395
0,441,4551,21,21,392
0,442,4614,0,0,397
0,443,4587,9,9,395
0,444,4629,21,21,398
0,445,4610,20,20,397
0,446,4651,22,22,401
0,447,4645,9,9,400
0,448,4647,23,23,400
0,449,4640,21,21,400
0,450,4637,0,0,400
0,451,4680,20,20,403
0,452,4717,0,0,406
0,453,4675,9,9,403
0,454,4693,2,2,404
0,455,4683,15,15,404
0,456,4688,1,1,404
0,456,4694,1,1,404
0,457,4686,14,14,404
0,457,4690,14,14,404
0,458,4686,14,14,404
0,458,4690,14,14,404
0,459,4711,22,22,405
0,460,4884,22,22,420
0,461,4885,9,9,420
0,462,4775,0,0,410
0,463,4775,0,0,410
0,464,4785,20,20,411
0,465,5520,18,18,468
0,466,4800,4,4,413
0,467,4799,0,0,413
0,468,4804,1,1,413
0,468,4809,1,1,413
0,469,4808,16,16,413
0,470,4801,5,5,413
0,471,4801,5,5,413
0,472,4836,0,0,416
0,473,4848,12,12,417
0,474,4851,16,16,417
0,475,4855,0,0,418
0,476,4898,12,12,421
0,477,4923,0,0,423
0,478,4898,12,12,421
0,479,4940,9,9,424
0,480,4905,16,16,422
0,481,4941,16,16,424
0,482,4934,22,22,424
0,483,4951,12,12,425
0,484,4993,22,22,428
0,485,4966,16,16,427
0,485,4972,16,16,427
0,486,4978,0,0,428
0,487,4976,9,9,428
0,488,4978,0,0,428
0,489,5019,16,16,430
0,489,5029,16,16,430
0,490,5019,16,16,430
0,490,5029,16,16,430
0,491,5045,9,9,432
0,492,5067,0,0,433
0,493,5054,22,22,432
0,494,5067,0,0,433
0,495,5075,16,16,434
0,495,5079,16,16,434
0,496,5070,9,9,434
0,497,5076,22,22,434
0,498,5088,0,0,435
0,499,5104,12,12,436
0,499,5106,12,12,436
0,500,5101,9,9,436
0,501,5100,20,20,436
0,502,5117,22,22,437
0,503,5097,14,14,436
0,503,5105,14,14,436
0,504,5107,15,15,437
0,505,5118,0,0,437
0,506,5143,9,9,439
0,507,5138,16,16,439
0,507,5149,16,16,439
0,508,5132,0,0,439
0,509,5184,9,9,442
0,510,5195,22,22,442
0,511,5191,0,0,442
0,511,5193,0,0,442
0,512,5221,9,9,444
0,513,5222,22,22,444
0,514,5281,0,0,448
0,515,5270,9,9,448
0,516,5272,22,22,448
0,517,5289,20,20,450
0,518,5293,9,9,450
0,519,5290,14,14,450
0,520,5302,22,22,450
0,521,5292,12,12,450
0,521,5296,12,12,450
0,522,5299,0,0,450
0,523,5321,9,9,452
0,524,5363,22,22,454
0,525,5384,0,0,456
0,526,5418,0,0,458
0,527,5412,22,22,458
0,528,5419,21,21,458
0,529,5423,14,14,458
0,530,5443,15,15,460
0,531,5412,22,22,458
0,532,5423,14,14,458
0,533,5414,16,16,458
0,533,5421,16,16,458
0,534,5444,16,16,460
0,535,5440,4,4,460
0,535,5449,4,4,460
0,536,5447,0,0,460
0,537,5444,16,16,460
0,538,5438,5,5,460
0,538,5441,5,5,460
0,539,5436,9,9,460
0,540,5440,4,4,460
0,540,5449,4,4,460
0,541,5471,22,22,462
0,542,5459,9,9,462
0,543,5462,0,0,462
0,544,5477,9,9,464
0,545,5483,2,2,464
0,546,5480,14,14,464
0,547,5485,0,0,464
0,548,5489,16,16,465
0,549,5533,1,1,469
0,550,5478,12,12,464
0,551,5533,1,1,469
0,552,5478,12,12,464
0,553,5482,20,20,464
0,554,5495,9,9,466
0,555,5496,12,12,466
0,556,5506,2,2,467
0,557,5503,0,0,467
0,558,5515,9,9,468
0,559,5521,16,16,468
0,560,5521,16,16,468
0,561,5513,14,14,468
0,562,5535,0,0,470
0,563,5553,22,22,471
0,563,5555,22,22,471
0,564,5578,8,8,474
0,565,5561,14,14,472
0,566,5604,12,12,476
0,567,5556,16,16,472
0,568,5564,5,5,473
0,568,5568,5,5,473
0,569,5564,5,5,473
0,569,5568,5,5,473
0,570,5570,4,4,473
0,571,5571,0,0,473
0,572,5600,0,0,476
0,573,5586,16,16,475
0,574,5658,0,0,481
0,574,5670,0,0,481
0,575,5700,12,12,485
0,576,5683,9,9,483
0,577,5693,5,5,484
0,578,5692,4,4,484
0,579,5695,16,16,484
0,580,5690,14,14,484
0,581,5710,0,0,485
0,582,5713,14,14,486
0,583,5732,16,16,487
0,584,5732,16,16,487
0,585,5755,0,0,490
0,586,5754,22,22,489
0,587,5814,0,0,496
0,588,5776,16,16,492
0,589,5777,12,12,492
0,590,5776,16,16,492
0,591,5801,8,8,494
0,592,5812,12,12,496
0,593,5826,9,9,497
0,594,5831,20,20,497
0,595,5824,1,1,497
0,595,5830,1,1,497
0,596,5820,10,10,497
0,597,5845,0,0,499
0,598,5875,22,22,501
0,598,5878,22,22,501
0,599,5893,0,0,503
0,600,5922,2,2,505
0,600,5925,2,2,505
0,601,5929,0,0,506
0,602,5927,1,1,505
0,603,5922,2,2,505
0,603,5925,2,2,505
0,604,5927,1,1,505
0,605,5946,2,2,507
0,606,5946,2,2,507
0,607,5948,1,1,507
0,608,5970,0,0,509
0,609,5951,20,20,508
0,609,5958,20,20,508
0,610,5980,9,9,510
0,611,6026,0,0,514
0,612,6064,0,0,518
0,613,6100,9,9,521
0,614,6110,14,14,522
0,615,6178,0,0,526
0,616,6178,0,0,526
0,617,6107,22,22,522
0,617,6122,22,22,522
0,618,6235,0,0,531
0,618,6239,0,0,531
0,619,6268,0,0,533
0,620,6268,0,0,533
0,621,6277,18,18,534
0,622,6285,21,21,534
0,623,6287,16,16,534
0,624,6307,22,22,536
0,625,6321,18,18,537
0,626,6324,14,14,537
0,627,6301,5,5,536
0,628,6323,15,15,537
0,629,6320,4,4,537
0,630,6304,23,23,536
0,631,6302,10,10,536
0,632,6319,20,20,537
0,633,6301,5,5,536
0,634,6320,4,4,537
0,635,6312,0,0,537
0,635,6314,0,0,537
0,636,6352,0,0,539
0,637,6352,0,0,539
0,638,6415,0,0,545
0,638,6417,0,0,545
0,639,6442,0,0,547
0,640,6442,0,0,547
0,641,6499,15,15,552
0,642,6475,16,16,550
0,643,6473,18,18,550
0,644,6510,18,18,553
0,645,6516,22,22,553
0,646,6507,21,21,553
0,647,6517,4,4,553
0,648,6536,0,0,555
0,649,6546,10,10,556
0,650,6576,22,22,558
0,651,6574,20,20,558
0,652,6584,0,0,559
0,653,6601,14,14,561
0,654,6619,0,0,562
0,655,6606,18,18,561
0,656,6600,20,20,561
0,656,6605,20,20,561
0,657,7262,23,23,621
0,658,6640,0,0,564
0,659,6669,20,20,567
0,659,6673,20,20,567
0,660,6674,18,18,567
0,661,6674,18,18,567
0,662,6699,0,0,570
0,663,6699,0,0,570
0,664,6710,2,2,571
0,665,6704,1,1,571
0,666,6724,0,0,573
0,667,6742,12,12,575
0,667,6751,12,12,575
0,668,6760,20,20,576
0,669,6783,0,0,578
0,670,6760,20,20,576
0,671,6810,0,0,580
0,672,6839,5,5,583
0,673,6861,4,4,586
0,674,6849,12,12,584
0,675,6849,12,12,584
0,676,6860,0,0,586
0,676,6868,0,0,586
0,677,6936,0,0,592
0,678,6960,0,0,594
0,679,6963,12,12,595
0,679,6964,12,12,595
0,680,6977,1,1,596
0,681,6980,0,0,596
0,682,6979,2,2,596
0,683,7038,5,5,602
0,684,7038,5,5,602
0,685,7026,0,0,601
0,686,7051,16,16,604
0,687,7043,22,22,603
0,688,7049,18,18,603
0,689,7055,1,1,604
0,690,7054,2,2,604
0,691,7054,2,2,604
0,692,7071,0,0,606
0,692,7076,0,0,606
0,693,7075,22,22,606
0,694,7071,0,0,606
0,694,7076,0,0,606
0,695,7077,24,24,606
0,696,7058,18,18,605
0,696,7063,18,18,605
0,697,7152,0,0,611
0,698,7155,2,2,612
0,699,7155,2,2,612
0,700,7140,1,1,611
0,700,7149,1,1,611
0,701,7164,0,0,613
0,702,7177,2,2,614
0,703,7187,1,1,614
0,704,7224,4,4,618
0,704,7226,4,4,618
0,705,7225,0,0,618
0,706,7225,0,0,618
0,707,7245,0,0,620
0,708,8186,24,24,694
0,709,7815,16,16,667
0,710,7314,0,0,625
0,710,7317,0,0,625
0,711,7310,22,22,625
0,712,7348,22,22,627
0,713,7419,3,3,633
0,714,7391,9,9,631
0,715,7396,22,22,631
0,716,7397,0,0,632
0,717,7397,0,0,632
0,718,7454,0,0,636
0,719,7436,22,22,634
0,720,7430,21,21,634
0,721,7471,12,12,638
0,722,7462,22,22,637
0,723,7480,0,0,638
0,723,7481,0,0,638
0,724,7505,22,22,641
0,725,7545,23,23,644
0,726,7513,0,0,642
0,727,7513,0,0,642
0,728,7521,2,2,642
0,728,7526,2,2,642
0,729,7515,1,1,642
0,730,7549,0,0,644
0,731,7564,22,22,645
0,732,7566,4,4,646
0,733,7565,0,0,646
0,734,7566,4,4,646
0,735,7585,22,22,647
0,736,7624,22,22,651
0,737,7651,14,14,653
0,738,7650,15,15,653
0,739,7648,0,0,653
0,739,7659,0,0,653
0,740,7675,22,22,655
0,741,7699,22,22,657
0,742,7704,21,21,657
0,743,7742,0,0,661
0,744,7786,0,0,664
0,745,7801,23,23,665
0,746,7825,22,22,668
0,747,7826,9,9,668
0,748,8869,3,3,752
0,749,7818,4,4,667
0,750,10871,7,7,925
0,751,8867,23,23,752
0,752,7832,16,16,669
0,752,7842,16,16,669
0,753,7869,20,20,671
